CH3	CH4
27968	24402
27720	24430
27484	24466
27212	24507
26970	24588
26800	24616
26500	24676
26224	24756
26008	24868
25892	24912
25576	25000
25348	25154
25210	25228
24972	25373
24768	25504
24597	25570
24444	25724
24244	25877
24050	25957
23941	26116
23812	26318
23682	26502
23564	26636
23426	26852
23284	27000
23182	27198
23139	27414
23104	27624
23098	27825
23008	28040
22970	28276
23029	28520
23032	28736
23069	28944
23114	29181
23173	29312
23201	29522
23280	29728
23392	29896
23442	30072
23576	30252
23712	30396
23866	30588
23988	30728
24160	30876
24338	30970
24512	31104
24613	31256
24801	31380
25025	31452
25233	31568
25360	31648
25628	31796
25821	31856
26032	31996
26236	32069
26449	32146
26656	32268
26872	32448
27032	32505
27285	32612
27516	32745
27696	32884
27944	32988
28161	33121
28346	33304
28579	33413
28728	33568
28980	33692
29136	33852
29338	34000
29612	34216
29800	34392
30008	34497
30218	34728
30396	34912
30692	35024
30881	35220
31132	35397
31333	35648
31552	35848
31810	36000
32009	36200
32242	36417
32465	36696
32765	36924
32981	37061
33218	37314
33469	37524
33706	37712
33968	38000
34225	38220
34496	38320
34753	38540
35052	38752
35344	38968
35612	39264
35860	39360
36149	39572
36344	39800
36664	39978
36932	40020
37065	40272
37368	40400
37632	40564
37792	40712
38017	40849
38256	41108
38484	41188
38772	41436
38897	41602
39098	41792
39288	41825
39492	41978
39657	42171
39932	42336
40028	42400
40184	42592
40466	42604
40504	42835
40792	42868
40788	43028
40896	43018
41117	43121
41148	43188
41284	43297
41378	43321
41512	43460
41580	43453
41656	43592
41780	43572
41844	43620
41948	43728
42016	43736
42192	43804
42144	43921
42322	43972
42332	44056
42361	44104
42428	44220
42552	44248
42572	44336
42624	44440
42760	44528
42872	44633
42828	44780
42898	44809
42960	44960
43028	44992
43160	45048
43208	45136
43152	45202
43272	45228
43257	45268
43242	45312
43272	45296
43269	45312
43296	45248
43308	45216
43265	45220
43246	45164
43256	45064
43160	44936
43140	44801
43084	44712
43112	44588
42952	44393
42872	44265
42788	44056
42704	43912
42588	43780
42560	43536
42474	43316
42336	43217
42112	42956
41912	42696
41880	42612
41568	42356
41532	42036
41352	41960
41018	41616
40800	41444
40582	41248
40393	40952
40152	40729
39928	40568
39760	40328
39408	40164
39160	39956
38908	39610
38684	39404
38386	39280
38140	39008
37872	38770
37584	38506
37312	38297
37037	38105
36800	37980
36554	37632
36228	37426
35968	37226
35777	37064
35440	36810
35168	36610
34882	36552
34634	36204
34376	36128
34104	35816
33840	35696
33592	35552
33340	35218
33100	35016
32796	34817
32540	34637
32300	34396
32046	34232
31784	33936
31520	33760
31258	33462
31008	33213
30764	32952
30505	32714
30256	32444
30004	32188
29780	31928
29542	31694
29292	31403
29042	31097
28832	30904
28539	30541
28353	30284
28088	30060
27873	29724
27692	29445
27492	29188
27312	28924
27092	28656
26900	28413
26736	28168
26537	27980
26378	27682
26164	27420
25884	27194
25802	26972
25554	26760
25425	26532
25286	26392
25100	26182
25013	25995
24808	25744
24728	25585
24540	25416
24386	25257
24282	25114
24188	24974
24117	24862
23992	24748
23928	24657
23828	24637
23760	24578
23709	24544
23646	24481
23592	24478
23497	24509
23556	24564
23472	24582
23512	24644
23520	24709
23464	24824
23544	24950
23529	25056
23526	25140
23630	25277
23713	25401
23760	25568
23818	25716
23924	25844
23958	26002
24146	26162
24242	26333
24363	26484
24430	26661
24642	26824
24785	27008
24930	27230
25080	27377
25184	27552
25406	27734
25577	27932
25694	28140
25944	28332
26112	28544
26304	28811
26498	29052
26680	29196
26837	29420
27002	29728
27203	29942
27444	30132
27653	30376
27858	30592
28046	30885
28240	31076
28449	31380
28682	31648
28852	31825
29065	32117
29298	32317
29442	32568
29656	32825
29952	33056
30140	33312
30408	33570
30582	33881
30833	34094
31136	34334
31362	34636
31596	34872
31852	35125
32144	35417
32410	35685
32669	35880
32932	36204
33225	36408
33593	36656
33818	36900
34189	37130
34500	37396
34820	37716
35084	37796
35400	38036
35708	38240
36080	38452
36336	38588
36680	38776
36940	38988
37296	39084
37564	39348
37808	39392
38100	39504
38416	39616
38706	39744
38940	39968
39196	39952
39466	40088
39792	40176
40084	40352
40256	40348
40516	40545
40882	40504
41148	40626
41313	40780
41544	40829
41802	40832
42096	40896
42250	41036
42489	41120
42832	41192
42952	41304
43208	41328
43360	41328
43540	41384
43784	41528
43924	41624
44128	41680
44268	41752
44412	41740
44624	41784
44704	41836
44888	41992
44960	41968
45088	42070
45152	42056
45236	42176
45332	42176
45464	42272
45548	42345
45568	42328
45648	42436
45785	42472
45764	42480
45872	42460
45956	42552
45948	42500
46016	42464
46016	42504
46112	42504
46064	42456
46061	42368
46076	42248
46084	42204
46109	42068
46052	41876
45996	41752
45889	41604
45884	41376
45824	41176
45688	40981
45560	40754
45458	40460
45385	40233
45184	40001
45048	39674
44860	39434
44720	39132
44556	38858
44337	38604
44076	38284
43840	38024
43617	37728
43449	37432
43096	37168
42866	36864
42576	36596
42380	36298
42020	36024
41696	35764
41366	35468
41056	35213
40819	34936
40545	34664
40096	34400
39792	34129
39528	33878
39168	33620
38844	33336
38432	33088
38098	32820
37821	32560
37444	32312
37128	32060
36805	31820
36484	31569
36153	31326
35828	31072
35484	30820
35164	30604
34837	30358
34560	30145
34204	29912
33940	29700
33532	29481
33194	29284
32882	29106
32541	28924
32244	28744
31904	28542
31512	28364
31152	28186
30804	28013
30452	27864
30080	27697
29708	27493
29328	27330
28944	27160
28569	27005
28188	26816
27804	26637
27420	26528
27034	26297
26674	26180
26312	26028
25900	25800
25600	25646
25229	25482
24889	25360
24572	25186
24252	25076
23881	24948
23581	24720
23301	24572
22962	24454
22676	24354
22464	24218
22124	24146
21864	24016
21640	23928
21380	23766
21198	23661
20964	23573
20637	23462
20482	23334
20240	23296
20022	23195
19821	23120
19638	23004
19470	22978
19233	22916
19040	22794
18916	22808
18689	22688
18536	22632
18382	22646
18238	22618
18110	22528
17960	22567
17812	22614
17707	22586
17612	22594
17480	22616
17396	22660
17300	22720
17167	22800
17058	22900
17051	22976
17003	23076
16950	23192
16908	23298
16844	23476
16848	23533
16808	23678
16843	23820
16836	23936
16796	24088
16830	24196
16952	24284
16960	24386
17052	24537
17089	24684
17216	24766
17268	24926
17399	25028
17492	25192
17584	25261
17768	25417
17900	25504
18100	25710
18243	25912
18426	26076
18550	26169
18781	26356
18947	26500
19125	26656
19259	26912
19489	27112
19652	27340
19889	27512
20072	27724
20232	27992
20424	28224
20700	28451
20848	28696
21044	28965
21236	29192
21480	29485
21600	29716
21850	29974
22056	30240
22240	30505
22456	30837
22648	31076
22828	31360
23065	31618
23272	31850
23489	32192
23688	32464
23910	32762
24137	33061
24314	33392
24602	33708
24760	34045
25080	34354
25328	34708
25516	34992
25765	35368
26040	35736
26314	36140
26552	36320
26853	36724
27100	37092
27378	37410
27648	37624
27924	37964
28193	38259
28480	38604
28760	38828
29037	39049
29340	39348
29600	39514
29908	39744
30176	39924
30466	40124
30776	40344
31052	40540
31360	40608
31636	40784
31940	40976
32237	41118
32541	41200
32836	41344
33129	41528
33433	41612
33720	41704
34033	41701
34336	41800
34632	41996
34916	41952
35220	42017
35496	42066
35796	42113
36072	42129
36468	42162
36660	42264
36956	42140
37248	42116
37508	42120
37792	42200
38089	42080
38320	42049
38588	42016
38830	42064
39149	41994
39408	41936
39596	41908
39844	41836
39996	41737
40208	41840
40448	41784
40737	41736
40932	41608
41024	41644
41244	41588
41408	41590
41720	41484
41778	41408
42024	41360
42224	41449
42265	41296
42442	41228
42604	41192
42700	41192
42824	41064
42944	41008
43028	40904
43122	40900
43196	40728
43265	40616
43304	40576
43397	40388
43413	40288
43448	40084
43432	39872
43384	39704
43348	39588
43344	39401
43292	39170
43256	39013
43272	38798
43113	38544
43092	38360
42908	38170
42908	37912
42794	37697
42684	37456
42521	37272
42364	37032
42304	36796
42064	36568
41988	36332
41696	36132
41604	35897
41345	35668
41188	35426
40976	35220
40892	34994
40584	34761
40476	34549
40221	34320
40040	34112
39740	33900
39496	33704
39332	33509
39076	33322
38788	33140
38568	32952
38344	32800
38084	32651
37772	32501
37484	32392
37228	32272
36921	32160
36624	32076
36356	32000
36122	31905
35728	31826
35428	31762
35156	31720
34778	31624
34482	31562
34152	31544
33796	31396
33472	31368
33168	31216
32848	31134
32577	30988
32196	30872
31901	30717
31656	30564
31340	30324
31056	30116
30784	29904
30525	29708
30264	29468
30021	29217
29774	28936
29484	28688
29284	28356
29064	28116
28770	27784
28602	27520
28330	27176
28149	26868
27944	26561
27686	26296
27464	25953
27341	25651
27144	25344
26944	25046
26752	24768
26524	24472
26344	24192
26109	23882
26000	23610
25728	23342
25545	23076
25426	22848
25228	22576
24944	22344
24868	22130
24706	21904
24530	21688
24322	21505
24236	21332
24056	21169
23938	21026
23720	20889
23640	20776
23468	20701
23384	20636
23286	20586
23184	20577
23040	20577
22973	20586
22904	20640
22848	20708
22768	20792
22728	20912
22688	21041
22662	21178
22576	21350
22629	21530
22620	21708
22628	21914
22603	22100
22616	22296
22672	22504
22725	22722
22779	22994
22878	23219
22892	23420
22961	23644
23088	23874
23210	24106
23290	24372
23408	24645
23537	24898
23592	25204
23808	25452
23902	25697
24064	25958
24201	26232
24353	26520
24521	26808
24694	27090
24824	27420
25000	27680
25188	27945
25341	28261
25512	28576
25668	28824
25832	29176
26024	29456
26130	29722
26320	30040
26506	30324
26696	30621
26844	30972
27018	31202
27206	31482
27421	31804
27613	32096
27764	32396
27924	32672
28212	33024
28401	33366
28645	33600
28816	33972
29064	34272
29304	34636
29522	34976
29772	35281
29992	35648
30245	35980
30488	36377
30720	36752
30970	36997
31232	37372
31522	37728
31812	38084
32036	38420
32293	38680
32568	38968
32844	39250
33172	39416
33428	39800
33684	39952
34024	40214
34268	40416
34620	40661
34881	40904
35208	40984
35430	41208
35744	41408
36052	41629
36372	41689
36740	41888
36994	42008
37308	42188
37628	42340
38020	42432
38352	42501
38588	42716
38984	42804
39246	42909
39568	42916
39908	43000
40196	43076
40456	43164
40764	43336
41096	43384
41344	43368
41748	43400
42068	43448
42256	43508
42488	43592
42780	43562
43064	43636
43336	43712
43604	43684
43852	43676
44104	43696
44417	43720
44600	43736
44836	43776
45072	43808
45312	43872
45576	43876
45776	43936
46073	43868
46228	43892
46500	43904
46744	43912
46872	43940
47136	43882
47300	43872
47456	43798
47637	43720
47856	43640
48000	43560
48112	43472
48280	43281
48368	43172
48480	42952
48584	42784
48736	42560
48804	42320
48844	42066
48848	41808
48884	41536
48912	41236
48968	40956
48956	40657
48884	40313
48928	39996
48840	39668
48760	39320
48684	39032
48640	38672
48508	38397
48385	38044
48280	37716
48153	37312
47992	37068
47892	36736
47712	36386
47456	36096
47296	35742
47064	35440
46890	35096
46616	34788
46360	34560
46161	34217
45844	33840
45632	33550
45281	33286
45066	33072
44728	32724
44492	32476
44125	32192
43860	31892
43528	31588
43200	31352
42984	31108
42652	30876
42304	30600
41888	30338
41696	30124
41212	29920
40866	29696
40516	29465
40252	29266
39820	29081
39464	28948
